New_Medoid	Cluster	EntrezID
IL23R	1	149233
TNFSF18	2	8995
TNFRSF4	3	7293
TLR1	4	7096
SLC11A1	5	6556
IL8	6	3576
NFKB1	7	4790
TNFSF15	8	9966
NOD2	9	64127
PPIB	10	5479
DBP	11	1628
ITPKA	12	3706
GLTSCR2	13	29997
ITGB4	14	3691
CD37	15	951
IRF5	16	3663
PREX1	17	57580
MMEL1	18	79258
FUT2	19	2524
SYVN1	20	84447
BRPF3	21	27154
IFNG	22	3458
IL2	23	3558
FHL2	24	2274
NOX3	25	50508
ZFP36	26	7538
EGFL7	27	51162
MLF2	28	8079
ZPBP	29	11055
FUBP1	30	8880
NFIL3	31	4783
PARP4	32	143
PABPC1	33	26986
CEBPG	34	1054
IGHA2	35	3494
ICOSLG	36	23308
TSNAX	37	7257
LIF	38	3976
IL26	39	55801
SDCBP	40	6386
TLR9	41	54106
NLRP2	42	55655
TAB1	43	10454
NIPBL	44	25836
IL4	45	3565
TSC1	46	7248
IL1RL2	47	8808
HLA-E	48	3133
ADAM30	49	11085
ATG16L1	50	55054
FAM55A	51	120400
GPS2	52	2874
SF3B1	53	23451
DPY30	54	84661
COL3A1	55	1281
HBA1	56	3039
EIF3M	57	10480
SRRM2	58	23524
HSPB1	59	3315
PRDX3	60	10935
MYH9	61	4627
USO1	62	8615
HLA-DRB5	63	3127
ZEB2	64	9839
TMEM66	65	51669
MBD1	66	4152
NPM1	67	4869
LRRCC1	68	85444
VMAC	69	400673
HFE	70	3077
SIGLEC11	71	114132
AARSD1	72	80755
SP3	73	6670
MOAP1	74	64112
CD5L	75	922
